score,text
1,"['great', 'sound', 'service']"
0,"['overgeneralized', 'not', 'helpful', 'anyone', 'seriously', 'applying', 'premed', 'know', 'nothing', 'mean', 'nothing', 'medical', 'school', 'admissions', 'process', 'book', 'used', 'start', 'found', 'lacking', 'original', 'information', 'authors', 'attempts', 'full', 'books', 'pages', 'obvious', 'simple', 'test', 'see', 'need', 'book', 'know', 'mcat', 'yes', 'no', 'no', 'need', 'book', 'yes', 'not', 'book', 'skims', 'basic', 'basic', 'admissions', 'info']"
1,"['love', 'book', 'book', 'fast', 'read', 'poor', 'young', 'farmer', 'boy', 'grew', 'american', 'hero', 'withstanding', 'many', 'trials', 'along', 'wayalso', 'insite', 'ww', 'veterans', 'went', 'truely', 'wonderful', 'tribute', 'not', 'man', 'veterans', 'thank', 'kathleen', 'wonderful', 'book']"
1,"['hugely', 'enjoyable', 'screen', 'version', 'rona', 'jaffes', 'bestselling', 'potboiler', 'trials', 'tribulations', 'naturally', 'loves', 'group', 'women', 'involved', 'one', 'way', 'another', 'new', 'york', 'publishing', 'business', 'directed', 'jean', 'negulesco', 'fairly', 'fresh', 'success', 'three', 'coins', 'fountain', 'prototype', 'likes', 'sex', 'city', 'except', 'sex', 'takes', 'place', 'offscreenthe', 'bright', 'young', 'female', 'talents', 'day', 'hope', 'lange', 'diane', 'baker', 'suzy', 'parker', 'martha', 'hyer', 'nicely', 'cast', 'joan', 'crawford', 'pops', 'queen', 'bitch', 'editor', 'probably', 'eat', 'meryl', 'streeps', 'miranda', 'priestly', 'spit', 'absolutely', 'no', 'effort', 'steals', 'movie', 'men', 'include', 'stephen', 'boyd', 'louis', 'jourdan', 'not', 'rossano', 'brazzi', 'louis', 'jourdan', 'robert', 'evans', 'decided', 'wisely', 'go', 'behind', 'camera', 'brian', 'aherne', 'suds', 'display', 'find', 'average', 'launderette', 'like', 'enjoy', 'desperate', 'housewives', 'not', 'mention', 'carrie', 'bradshaw', 'company', 'probably', 'love', 'guilty', 'pleasure']"
0,"['uninteresting', 'hodgepodge', 'something', 'no', 'imagination', 'seems', 'gone', 'script', 'direction', 'man', 'framed', 'murder', 'wife', 'lover', 'conspirators', 'pretty', 'thorough', 'job', 'making', 'look', 'guilty', 'man', 'richard', 'thomas', 'whose', 'psychiatric', 'records', 'reveal', 'stable', 'unimaginative', 'manages', 'escape', 'jail', 'beat', 'conspirators', 'beach', 'house', 'secretly', 'record', 'conversation', 'reveal', 'guilt', 'accidentally', 'drops', 'tape', 'recorder', 'evidence', 'sea', 'water', 'manages', 'retrieve', 'shows', 'heck', 'lot', 'creativity', 'improvisational', 'skill', 'unimaginative', 'guy', 'ask', 'methe', 'tape', 'damaged', 'goods', 'enough', 'break', 'wifes', 'lover', 'sobs', 'confession', 'bad', 'people', 'punished', 'good', 'people', 'savedthe', 'location', 'shooting', 'impressive', 'beach', 'house', 'nothing', 'wooden', 'exterior', 'thrown', 'grounds', 'fort', 'fisher', 'battlefield', 'cape', 'fear', 'peninsula', 'house', 'torn', 'immediately', 'production', 'wrappedit', 'pretty', 'place', 'unfortunately', 'little', 'hard', 'see', 'someone', 'seems', 'shot', 'every', 'scene', 'pair', 'pantyhose', 'stretched', 'camera', 'lens', 'fuzzy', 'natural', 'splendor', 'location', 'viewer', 'never', 'gets', 'real', 'sense', 'place', 'sand', 'feels', 'like', 'texture', 'gray', 'bark', 'stunted', 'evergreensthe', 'acting', 'okay', 'performers', 'nothing', 'much', 'work', 'best', 'performance', 'often', 'case', 'given', 'dick', 'olsen', 'sleazy', 'not', 'unsympathetic', 'defense', 'lawyer', 'virginia', 'madsen', 'radiates', 'infidelity', 'every', 'beat', 'eyelashes', 'ted', 'mcginley', 'within', 'range', 'immoral', 'weaklingthe', 'musical', 'score', 'neatly', 'blends', 'ominous', 'mysterious', 'effective', 'want', 'hear', 'original', 'ripped', 'rent', 'hitchcocks', 'vertigo', 'listen', 'bernard', 'hermanns', 'suspenseful', 'themei', 'cannot', 'think', 'particular', 'reason', 'catch', 'one', 'except', 'utter', 'boredom']"
1,"['customer', 'service', 'best', 'rachel', 'took', 'great', 'care', 'us', 'phx', 'airport']"
0,"['normal', 'receive', 'no', 'reply', 'central', 'baggage']"
0,"['imagine', 'worst', 'skits', 'saturday', 'night', 'live', 'mad', 'tv', 'one', 'minute', 'movie', 'imagine', 'humor', 'bad', 'skits', 'removed', 'replaced', 'stupidity', 'imagine', 'something', 'times', 'worsegot', 'thatok', 'go', 'see', 'underground', 'comedy', 'movie', 'vision', 'seem', 'like', 'funniest', 'thing', 'ever', 'ucm', 'single', 'worst', 'movie', 'ever', 'seen', 'cheap', 'laughsvery', 'lame', 'even', 'intent', 'movie', 'lame', 'lame', 'funnythe', 'reason', 'not', 'angry', 'wasting', 'time', 'watching', 'someone', 'else', 'know', 'bought', 'wasted', 'money', 'vince', 'offer', 'not', 'written', 'directed', 'anything', 'else', 'no', 'surprise']"
0,"['one', 'worst', 'films', 'ever', 'like', 'cheesy', 'movies', 'simply', 'awful', 'images', 'film', 'box', 'think', 'money', 'spent', 'dvd', 'box', 'illustrations', 'entire', 'film', 'would', 'company', 'release', 'dvd', 'cover', 'misleading', 'feel', 'like', 'idiot', 'renting', 'movie', 'based', 'strictly', 'box', 'much', 'explore', 'imdb', 'done', 'little', 'research', 'made', 'list', 'prior', 'visiting', 'local', 'video', 'rental', 'store', 'no', 'one', 'blame', 'except', 'want', 'money', 'time', 'back', 'not', 'watch', 'movie', 'even', 'curiosity', 'motivating', 'stick', 'cocktail', 'umbrellas', 'eyes', 'instead', 'much', 'enjoyable', 'warned']"
1,"['flight', 'attendant', 'wendi', 'flt', 'newark', 'orlando']"
